"","text"
"59"," budget service poor negligible leg space buy bottle water attendant rude speak english service pathetic "
"60"," rn worst airlines weeks ago"
"61"," gave review negative star delay hrs announcement looked tv monitor info stated changed time waiting waiting hrs delay good thing didn’ continue ridiculous "
"62"," rn legless lionair weeks ago"
"63"," sadly ft tall legs suffer indignity flying time absolutely legroom understand frills flying absurd provide relief asked don "
"64"," rn weeks ago"
"65"," title hrs late lucky didn connecting check slow messy seats comfortable clean honest worried safety due min bad weather incidents "
"66"," rn late cramped july "
"67"," traveled multiple times time time announced rescheduled bed middle night delayed untill original departure time resulting long uncomfortable unnecessary "
"68"," rn comfortable july "
"69"," mine short small aircraft interior looked clean staff pleasant helpful arrived bali minutes early good mention ground staff amazing helpful girl named nym helped lot minute booking ill choose "
"70"," rn frequent delay july "
"71"," experienced frequent delay days week delayed kul jakarta hours delayed delayed jakarta kul hours delayed return msia flyer recommended plans itinerary urgent important meeting business matter "
"72"," rn make late lose bags july "
"73"," worst delayed hrs lost bags jt absentee owner doomed "
"74"," rn “ ” recommendation july "
"75"," recommended reason interconnecting bali surabaya delayed late afternoon pm pool passengers morning late afternoon flights big airplane save fuel money pilots fly "
"76"," rn highly recommended july "
"77"," waiting waiting room fell asleep waiting checked myphone received anhe sms informing schedule change aircraft kinda shock sms anncouned directly boarding gate deayed hours "
"78"," rn time july "
"79"," check mess planes delayed hours change gate don explain english beware multiple low end service "
"80"," rn flying july "
"81"," time ’ airlines landing smooth important thing crew airlines dind’ make passanger awake ’ landing ’ sleeping ’ made shocked "
"82"," rn time taking hrs delay hr july "
"83"," flying singapore jakarta weekend trip leaving friday night delayed hour hours left singapore hr jakarta stupid leave earlier finally gave options "
"84"," rn absolutely horrific experience july "
"85"," honestly baffled horrific airlines indonesia lombok mere minutes arrived airport told cancelled reach phone couldn’ email people similar "
"86"," rn late flights accumulated delays july "
"87"," delayed arrival kupang led delayed departure delay surabaya due heavy traffic delay jakarta due long taxi terminal result minutes collect baggage transfer international terminal garuda check made additionally original flights affected "
"88"," rn option fly everwhere indonesia july "
"89"," airfare unresponsible passenger thing delay hours reason cheap small regency fix things make "
"90"," rn july "
"91"," delayed informed waiting room yeah reputation schedule delayed courtesy ground staffs announcement plane ready ticket free passengers "
"92"," rn july "
"93"," bad service hours late drinks food "
"94"," rn delay july "
"95"," unprofessional services staff delays flights hours recommended fly "
"96"," rn changed times july "
"97"," honestly option airlines list wanna fly problem time performance times bad situations delayed including experience flying solo peak season eid mubarak sms days date "
"98"," rn schedule june "
"99"," visiting bromo exotica bromo back lampung transit cengkareng soekarno hatta international airport flew jt malang schedule board schedule usual dont space knee seated "
"100"," rn acoustic guitar carry june "
"101"," guitars carry unnescessary hassle stars underatand instruments fact carrying board doesbt affect passengers manner "
"102"," rn amazing june "
"103"," cheap luggage included add charges included staff great "
"104"," rn smooth june "
"105"," today fly lionair lampung jakarta jt cloudy lampung jakarta smooth food drink board minutes nice landing "
"106"," rn dont fly june "
"107"," country airlines iam perfer fly queue management push hard queue coming boarding bus station bus long walk plane cgk sin inside cabin "
"108"," rn late ’ company motto june "
"109"," everytime traveling domestic indonesia international list top late lie justify late schedule don’ care accommodating passager change early ’ misrepresent "
"110"," rn good resort june "
"111"," beginning chances flying recently quit totally unpredictable term responsiveness delay proper communication passengers changed delayed showing poorest service service checked boarding slower average competitors "
"112"," rn worst staff guaranteed ruin day june "
"113"," ’ frequent traveler traveled regular sized carry suitcase inside cabin morning boarding gate ground crew decided rudely allowed inside cabin baggage insisted "
"114"," rn promise late june "
"115"," fly option count hands times arrived time hand missed departure monitor schedule assigned gate thinking heard "
"116"," rn june "
"117"," changed departure time number minute sms text notice original number schedule change plan consulting arrived airport early departure inform delay minutes planned "
"118"," rn incompetent staff june "
"119"," fly singapore wife visa staff confidently buy ticket abroad singapore government permit enter singapore state concerned official singapore "
"120"," rn budget airlines indonesia june "
"121"," shock flew airbus nice experience things emergency seat checking counter favorite budget airlines "
"122"," rn regular delay june "
"123"," company extensive armada indonesia low cost wings standard service batik company sister company malaysia malindo langkawi thailand thai australia aussie batik review low time performance otp "
"124"," rn smooth landing june "
"125"," flew times prior bad experience delay rough landing time traveled group didn make booking exploring website check couldn give review part review "
"126"," rn improved june "
"127"," aware delay time glad returned delayed schdule "
"128"," rn extremely delayed june "
"129"," flew yogya jakarta delayed hours checking locals found delayed days flying domestic flights jogja make account hours delays normal "
"130"," rn cheap travels indonesia beware delays route june "
"131"," big company routes part asia times highly affordable professional kind staff hour delay makassar airport explanation statistics day route big gripe served "
"132"," rn solid experience june "
"133"," flew bad time airport booked ticket day departure price displaying online booked online great "
"134"," rn mr june "
"135"," time back home jakarta solo vice versa book days prior arrival departure time booked advance jakarta solo june price today check "
"136"," rn king june "
"137"," choice don fly weren group choice top tip charge hour late pretty standard poor management passengers loading england call bun fight dirty boeing er scuffed seats "
"138"," rn delays poor communication june "
"139"," ’ flights delayed indonesia traveled wit airlines delayed hour updated flights screen didn’ ’ve delay initially time hours delayed hours delayed "
"140"," rn budget june "
"141"," fly frequently cheapest find indonesia budget pay legroom complementary meal drink delayed time pretty generous carry means ll fighting space overhead compartments hey cheap "
"142"," rn june "
"143"," jakarta surabaya denpasar surabaya denpasar jakarta denpasar lombok ticket prices cheaper save services meals services provide food services passengers needed flying place time "
"144"," rn time issue june "
"145"," based experience taking delayed time worse turn conditioner airborne uncomfortable "
"146"," rn recommended long trips june "
"147"," trip short service attendants save attendant happily smiled plane slightly delayed explanation provided risky connecting luckily moved connecting "
"148"," rn short trip good memory june "
"149"," choosed fly banda aceh medan schedule time great price affordable pleasent indonesia long long time ago avoid fly indonesia horrible moments "
"150"," rn delay delay delay june "
"151"," flew route back times year star nias island flights depart time occasions missed connecting flights put terrible hotel night avoid "
"152"," rn postponed times company days friendly crew june "
"153"," experience positive rescheduled times bit cold crew friendly "
"154"," rn returned jakarta "
"155"," check good smooth staff helpful operative legroom small announcements improved "
"156"," rn bad customer service "
"157"," happen date coming chronology booked return fares ticket batikair recently payment system payment problems cut creditted credit card didn’ received confirmation booking code called call centre hours news "
"158"," rn time ll ferry lombok "
"159"," delayed hours arrived lombok dark hotel shuttle left office offered meal voucher needed transport food luckely lady helped stay lombok start good "
"160"," rn budget airlines "
"161"," budget airlines loves travelers indonesia plane plane clean didn meal plane "
"162"," rn poor service evemt cheap price "
"163"," soo time made delay schedule ussually operational reasonbut profesional reason delayed handlingfor times passangger walk stay airplane sitt number cond compliment menit hot leaving runway airportif "
"164"," rn cheap "
"165"," indonesian airlines cheap price services good people complain airlines excellent service choose airlines "
"166"," rn resentful delay "
"167"," departure schedule sms email information delay delay approximately hours finally plane arrived cgk compensation "
"168"," rn maskapai lcc "
"169"," time schedule extra space seats free drink onboard good choice hour time "
"170"," rn tight schedule "
"171"," airlines tight schedule trip worse question knew otp bad honestly extensive network schedule rock bottom "
"172"," rn delay "
"173"," singapore hours delayed ferry batam center batam jakarta guess delay hours luckily wasn arrive midnight "
"174"," rn delayed hours "
"175"," alright cheap delayed hours hours unbelievable "
"176"," rn delay "
"177"," back jakarta pm plane flew pm delays flown pm passengers entered cabin chaotic passengers similar seat numbers case day delay "
"178"," rn budget "
"179"," budget indonesian bad check services late scheduled time "
"180"," rn king delay "
"181"," realize choose spare hour arrived destination board aircraft stay calm reason explain attendance enjoy "
"182"," rn normal "
"183"," booked bali lombok rinjani trip point bad point delay hrs don told plane indonesia choice walk airport "
"184"," rn budget rate service conventional carrier "
"185"," lionair ticket comprise kg check baggage timing schedule delay seat cramp eapecially ub long leg room leg "
"186"," rn called lying "
"187"," minute hours late board transport plane bus made wait tarmac minutes joke "
"188"," rn budget flights "
"189"," everytime kuala lumpur ontime delayed hours love taking domestic international lot choice time service fair price "
"190"," rn delay everytime "
"191"," flying kuala lumpur jakarta march choose provide time time airplane company everytime fly experience airplane company delay delay time "
"192"," rn "
"193"," travelled bangkok dmk airport chiang mai duration hr mins found suitable short trip time aircraft felt spacious ceilings higher aircrafts ve staff onboard friendly spoke good english usb ports seat front "
"194"," rn "
"195"," friend told booking stands late wasn wrong delayed hrs flights delayed times delay hotel driver waiting left taxi luggage delivery extremely slow "
"196"," rn don waste money "
"197"," ticketing terriblei reschedule charged terrible amount money equal price ticket lounge averagesimple refreshment provided coffee tea water light snacks boarding poorthere arrangement board board plane waited hr "
"198"," rn make people wait "
"199"," time airlines airlines delay suitable time budget schedule delay half hour increase hour give compensation legroom narrow height "
"200"," rn experience "
"201"," ground staff knew aircraft delayed passengers slowly changed time display asked passengers gate refreshment asked "
"202"," rn delayed "
"203"," lombok island bali wednesday time pm delayed till pm "
"204"," rn recommended "
"205"," fly airlines time ticket booked clients chance reschedule change delay hour compensation airlines "
"206"," rn delay "
"207"," waiting hour airport time staff inform minutes delayed hour comfortable upset services "
"208"," rn cramped "
"209"," choices airlines travel lombok book time elderly found cramped "
"210"," rn friendly price "
"211"," price cheapest indonesia service usual lcc services lot delays famous fortunately time flew schedule great friendly price doesn care service "
"212"," rn wondering "
"213"," service sold water atall nice beautiful hostes elgant model water food back jakerta bali power banck expenive reules long label bali "
"214"," rn cheap price completely unreliable "
"215"," ’ve company times times delayed overbooked change aircraft plane regularly time flied problem gladly pay time "
"216"," rn cheap price bad service "
"217"," good thing price ive forced past years regret time staff doesn care distracted phones don job things wrong time counter extremely slow crowded chaotic check "
"218"," rn economic "
"219"," month kuala lumpur vice versa punctuality kuala lumpur jakarta problem time form jakarta kuala lumpur patient time delay hour good crew polite smile "
"220"," rn don fly "
"221"," write review sitting runway yogyakarta ve minutes ve landed full marks landing sat watch hours supposed land delayed hours explanation staff "
"222"," rn destination "
"223"," fuss destination local budget run efficiently serves purposes "
"224"," rn time "
"225"," late leaving denpasar airport place driven bus terminal climb stairs thing plane refreshments heat sitting extremely overpriced warm water yogjakarta arrival circled ages receiving luggage "
"226"," rn fan "
"227"," connecting recommend delayed hours makassar bali option morning afternoon chaos bad management causing delays "
"228"," rn comfortable seat "
"229"," local thailand comfortable seat felling bigger service excellent "
"230"," rn batik "
"231"," lack communication customers ridiculous lombok delayed hours staff abrupt answers waiting room jam packed delays apparently regular thing "
"232"," rn time "
"233"," fly locations indonesia south east asia found unreliable "
"234"," rn unreliable risk "
"235"," fly domestically indonesia great deal flown times refuse book office clients arrange schedule reason flights run schedule resulted loss onward "
"236"," rn breaking habit "
"237"," past years flown times business purposes personal operator max er exiting flying stewardess kind pilot trained delayed due "
"238"," rn poor online booking services "
"239"," book web portal tickets palu jakarta confirmed credit card details bank approval forwarded back internet homepage ticket send booking confirmation received happen debiting credit card account "
"240"," rn mr "
"241"," flown multiple times years planes good quality staff friendly plenty patience dont hurry onward connections time anouncement expected delays guess buziness "
"242"," rn worst fears realised "
"243"," reading reviews caused draft testament number failed indonesian pilots jobs flights time hour late staff things apologise hand promised rewards "
"244"," rn delay flights "
"245"," delay worst service connections arrive time dont "
"246"," rn disaster april "
"247"," recommend fly short flights lowcost didnt expect dont boarding gate lastminute departure asked ground staff knew cancelled schedule "
"248"," rn cheap service april "
"249"," famous cheap tend delayed ve experienced hours delayed reaaaaly cheap food lines padang review fair square "
"250"," rn frequent delays exceptionally slow baggage service april "
"251"," save time pay opt earliest flights "
"252"," rn craft frill april "
"253"," flew time budget holiday heard negative comments expect booking made online booking ticket mail box confirmation mail retrieve site check received email reminder "
"254"," rn story punctuality april "
"255"," don endure famous delayed flights domestically international flights share day boarding aircraft minutes etd single explanation ground crew guess considered day "
"256"," rn horrible worst flew april "
"257"," flew jt jakarta singapore april horrible experience swear fly lionair recommend flying lionair boarding delayed ground staff lied asked boarding plane arrived boarding normal lionair "
"258"," rn low cost april "
"259"," low cost affordable low cost world online check make check counter printing boarding pass hurry counter printed lot people queue "
"260"," rn recommended rush april "
"261"," happened jakarta indonesia en route singapore afternoon evening plane late arrival explanation late screens boarding gates update eta restless crowd grumbling made "
"262"," rn review april "
"263"," visit family reached destination waited bali change smaller aircraft supposed fly delayed hours announced problems forced wait announcement told board service bad "
"264"," rn smooth april "
"265"," year internal thai flights impressed line booking easy credit card charges kg luggage allowance required prefer recent flights time aircraft feel safer crew friendly efficient clear announcements negative "
"266"," rn backpacker april "
"267"," delayed prepare minimum hours city minjmum hours tight schedule economic drink snack served buy airport "
"268"," rn hours buy online ticket april "
"269"," present credit card check completely useless don impossible buy online ticket official website pay intermediate site poor "
"270"," rn time friendly staff planes april "
"271"," year journeys smooth didn check luggage check issue low cost airlines give leg room prevent people reclining seats inches guy front reclined seat "
"272"," rn crew friendly april "
"273"," frequent flights destinations jakarta singapore times comfortable crew friendly "
"274"," rn delayed april "
"275"," checked screen departure time hours check agent system error depart time min departure announced hours delayed stated screens impressed communication "
"276"," rn absolutely disgraceful worst experience avoid april "
"277"," delayed hour explanation staff ’ absolutely useless bags broken compartments left open picked lionair awful response emails tweets avoid thieving lazy "
"278"," rn banda aceh batam jt april "
"279"," return leg recent pulau weh dive trip late time minutes return wasn full seats easier seating start "
"280"," rn batam banda aceh jt april "
"281"," recently flew batam banda aceh wasn expecting time left late arrived mins late bad result aircraft window seat exit row real complaints extra charge "
"282"," rn departure time options april "
"283"," departure time options manado balikpapan vice versa makes passenger flexible fly price expensive compare route duration service poor housekeeping "
"284"," rn delayed hot april "
"285"," delayed hour worst ac sweating ’ breath recommend kind tortured minutes sauna cheap cheap rp "
"286"," rn departure delay low cost april "
"287"," departure delayed hours seats close designed short people tall barely fit seats low cost worth "
"288"," rn book thieves april "
"289"," due leave asked staff correct gate clear signs information happening told ‘ time’ minutes due leave wow telling "
"290"," rn avoid give star april "
"291"," avoid worse experience needed buy ticket thai smile good trick money phone rude tourists "
"292"," rn great connection april "
"293"," airlines serves connection archipelago affordability make indonesian people fly replacing night buses inter island ships fly connect remote islands facts punctuality garuda "
"294"," rn money april "
"295"," punctual time plane seat flilght smooth landing good "
"296"," rn regrets april "
"297"," bad reviews concerned fact leg room issues flights time smooth issues check luggage problem checked bags "
"298"," rn cheap fare dont april "
"299"," plane delayed hours finally boarding problems peoples seat seat number website check bring big sis uncomfortable moment make big sister seat priority health peoples seat "
"300"," rn unreliable indication availability april "
"301"," trip jogja worst board unreliable timing indication availability time "
"302"," rn time april "
"303"," time delay moment ground crew friendly serve passengers "
"304"," rn reliable bad delays april "
"305"," time won’ read reviews gave shot times convenient turns times completely inaccurate delays hours outbound hours return "
"306"," rn hours delay hour april "
"307"," mid april hours delay clear explanation travelling kids managing boarding room difficult tired "
"308"," rn average april "
"309"," flew march ve reviewing trip late afternoon delayed hour annoyed yo son lop airport slept boarding chaotic walk fair "
"310"," rn wasn chicken give march "
"311"," jt delayed hours boarded yogyakarta original pm pm fine asia jakarta arrived jakarta terminal taxi terminal airasia terminal driver asked "
"312"," rn long wait short march "
"313"," supposed minutes island initial departure time pm delayed hrs pm due operational problem clear explanation arrive passengers rush gate chaotic manner manage inside cabin conditioning working sauna minutes "
"314"," rn usual march "
"315"," time taking earlier delayed schedule dirty tho don clean plane "
"316"," rn recommended march "
"317"," terrible service flights return trip delayed ’ normal thing complained term ‘delay’ perfectly company put extra effort rebrand image cheaper fare doesn’ lousy service don’ "
"318"," rn low cost march "
"319"," trip uneventful faced delays trip family travel small children recommend "
"320"," rn nice low cost carrier march "
"321"," pleasant low cost service check desks open hours departure plenty time airport planes releatively flights full virtually times experiences prone delays ideal business travel european low "
"322"," rn cheap march "
"323"," flewn jakarta surabaya boeing airways made bit scared wheather day good grey cloud bumpy lot service good space front seat "
"324"," rn cheap affordable march "
"325"," famous bad service delays flights unreasonable expensive cheapest latest choose earliest home satisfied check "
"326"," rn delay common march "
"327"," economy mid low class price airlines good time schedule flights afternoon forward delayed price good "
"328"," rn surprising march "
"329"," lucky flying month late delay time time cgk delayed airlines striving time service safety factors requested customers low cost carrier "
"330"," rn short scenic march "
"331"," departed time cabin crew courteous mt merapi takeoff flew ocean landed minutes "
"332"," rn nice short time comfort march "
"333"," morning great gate changed managed properly short bright morning makes day "
"334"," rn good march "
"335"," pleasant usual board aircraft minutes late fine issue hour love aircraft "
"336"," rn pleasent experience february "
"337"," guess lucky negative comments tripadvisor dare flights option surprisingly delightful pleasant experience drawback kg baggage allowance domestic low kg "
"338"," rn solid experience february "
"339"," couple stellar flights wings bit apprehensive flying mother company pretty eventful left time arrived time boarding wee bit chaotic wasn bad sell small bottles water "
"340"," rn hands absolute worst experience years frequent flyer flying february "
"341"," delay hours hours missed connecting granted company responsibility loved repeat times warn people connecting apologize "
"342"," rn cheap february "
"343"," terrible service problem person long names day departs airport check passport contacted customer service changed needed book refund "
"344"," rn dont fly february "
"345"," terrible time arrived plane communication flights passengers waiting hours planes communication ended leaving hours late hostess fell sleep unprofessional poor "
"346"," rn delay airlines february "
"347"," airlines popular delay airlines indonesia wanna booking connection flew lionair prepare extra hours safety gap lost responsible connecting airlines don professional cabin crew "
"348"," rn worst experiences february "
"349"," severely delayed due “operational reasons” hours late precise information ground staff arriving mid evening touched early hours morning time virtually taxis airport wait hour head "
"350"," rn nice morning february "
"351"," nice morning jakarta cgk jogja plane departed scheduled morning lcc legroom seat limited inflight entertainment food buy choose earliest schedule fly widely "
"352"," rn average lcc february "
"353"," lcc space legs tv food served buy "
"354"," rn nice spooky landing february "
"355"," landing bandung airport kinda spooky feels bit dangerous thought airport short landing area wasn bad "
"356"," rn plenty time connecting flights february "
"357"," delayed lombok times arrived bali hours delayed coming landing hold position minutes suggest lots time connecting bali aircon didn work "
"358"," rn terrible customer service february "
"359"," company times issue delay moved minute notice sms bahasa call send email english miss change minute customer service "
"360"," rn good lcc february "
"361"," fly day work good early morning good service short lcc concept lot thing fixed delay service system "
"362"," rn food leg room february "
"363"," food served tv leg space time landed scheduled landing time fare cheap kg check luggage kg cabin luggage allowed extra luggage charges kg "
"364"," rn delays delays delays february "
"365"," hours waiting making driver wait hours airport pky airport free wifi free food plane wasn bad expect delays flying "
"366"," rn food plane february "
"367"," huge plane departure arrival delay hour staff friendly guess due language barrier coming back bangkok realise menu stock left nuts drink luckily hours cater "
"368"," rn recommended february "
"369"," entertainment food quality avg cabin crew good star advantage fare cheap compared airlines "
"370"," rn good price problem february "
"371"," cc son ride airplane transit jakarta airport price reasonable airplane problem short time lcc good find inconvenience satisfied "
"372"," rn good sg jkt january "
"373"," lionair good sg jkt delay minutes don jkt sg delay hours budget expect spacious meal service "
"374"," rn don’ expect emergency january "
"375"," early december cancelled volcanic eruption ’ fault informed rescheduled airport directed locations denpasar refund pay taxi ride day travel agency "
"376"," rn recommended january "
"377"," cheap leave jakarta gunungsitoli transit medan hours back nias jakarta transit terrain hours bad experience bad service long delay fitting home delay hour continue "
"378"," rn standard january "
"379"," ordinary special time time schedule change semarang jakarta fine "
"380"," rn average january "
"381"," dollars recommend bangkok airways jet airways dmk airport half hours immigration "
"382"," rn late january "
"383"," late choice offer varied schedules "
"384"," rn poor january "
"385"," ground staff check counter rude helpfull luggage passanger lost prevent mine plastic wraping tagging bag bern stollen ground staff luggage staff company hire thief work rude person "
"386"," rn reliable low cost january "
"387"," choice domestic travel indonesia years hiccups major financial implications understandably low cost comfort doze duration don mind "
"388"," rn rude staff lombok airport january "
"389"," ’ ’ bandung airport staff kind helpfully detail needed lombok check staff slow response preferred chat staff costumer gave service fast "
"390"," rn time january "
"391"," bought ticket months ago traveloka schedule jakarta weeks date received email traveloka scheduled contact earliest scheduled boarding "
"392"," rn good january "
"393"," hour delay food good staff responsible good seats good landing good baggage management lost staff port kindly managed problem trip good "
"394"," rn address january "
"395"," emails answers phone answerhow company spend billions buy planes afford efficient customer care service bad "
"396"," rn route transit airlines january "
"397"," low price trnasit route airport good service customercare center crew cabin soogood nex trip route transfer airport "
"398"," rn cheap january "
"399"," delays talking delays miracle dirty seats small leg room ife economy food frozen food preheated microwave don price expensivethis recommended low budget tourist "
"400"," rn time flying company january "
"401"," time flying airthey badwas cheap bali jakarta booked week beforetravelled child good uswould fly "
"402"," rn live life edge january "
"403"," lionair rep late figured hrs wait dps catch mel wrong credit pulled stops made min spare exciting spend ladt day indonesia "
"404"," rn price january "
"405"," ’ cheap clean heavily delayed worth amount pay meat transport succeeded pay nickels short heavy turbulence lack safety monitoring risk dying "
"406"," rn delay january "
"407"," didnot surprise experience delayed bringing yogyakarta delay "
"408"," rn january "
"409"," reason choose affordable price delayed minutes pack biscuit compliment landing position smooth price cheap worth "
"410"," rn bad january "
"411"," time flew book ticket bit scared bad rumours choose price schedule luckly happened departure bandung time comeback bali "
"412"," rn worst january "
"413"," knouse return cgk kno cgk problem persist beginning cgk kno time fews check desk slow check officer handle passengers cgk miss check delayed thirty minutes "
"414"," rn cheap times delay december "
"415"," cheaper fare compare indonesia garuda batik ’ boeing er upg dps transit denpasar including changed aircraft boeing dps bdo free kg baggage snack entertainment unit seat space front seat average attendants friendly "
"416"," rn worst company december "
"417"," flew times company months flights canceled delayed hours compensation flights "
"418"," rn cheap december "
"419"," traveled aunt jakarta bali service good affordable good "
"420"," rn time leg space december "
"421"," staff friendly smartly give snacks water boarding waste hassle small leg space comfortable plane "
"422"," rn excellent december "
"423"," confess bit worried reading recent reviews awesome boarding time bus transport good cabin crew friendly airplane "
"424"," rn worth airlines december "
"425"," flew bali surabaya aircraft tired window dirty ac didn’ work hot entire "
"426"," rn worst december "
"427"," return denpasar lombok delayed hrs proper reason compensation stated operational problem crews services average company "
"428"," rn avond company december "
"429"," het manado kuala lumpur spend entiteit day manado jakarta left hours delay supposed jakarta direct made unexpected stopover surabaya results delay stopover jakarta supposed hours kl left "
"430"," rn minutes flew warms ac december "
"431"," flew surabaya dec denpasar choice time agenda limited arrived surabaya ac working normal felt difficult breath temperature cabin full passenger warm "
"432"," rn operational issues december "
"433"," direct forget place lay plane change minutes late leaving manado due operational issues plane hours late leaving lay place due operational issues ve flights don recall "
"434"," rn worst time management december "
"435"," today december fly pm delayed pm pm staff plane arrived announcement scheduled fly pm delay announcement destination shown top management capable job "
"436"," rn time december "
"437"," woowwww delay time amazing good nice low budget aorplane travelling save money love arrange passengers cabin luggage "
"438"," rn lack communication december "
"439"," lack communication horrendous boards show departure times updated intercom system awful actual info answers staff information tickets "
"440"," rn playing waiting game december "
"441"," worst experience im typing im sitting waiting bali past hours back back delays explanations operational delays weather conditions missed connecting singapore due delay pray back singapore today "
"442"," rn delay trademark fix december "
"443"," years traveling delay trademark route delay hour till hours hope fix problem dont technical problem managent problem "
"444"," rn fligth krabi bangkok don muang december "
"445"," delay hours excuse staff ground poor attitude supervisor pay overwheigt kilos bath counter lady listen music min voucher dont give proof payment "
"446"," rn unbelievable december "
"447"," friend local travelling palu denpassar makassar plane late leaving palu arrived told left early due leave hour refused offer alternative insisted pay extra remaining leg hours "
"448"," rn worst travelling experience december "
"449"," booked tuesday monday morning paid cimb clicks received email confirmation bank checked internet banking payment waiting booking reference website refresh home page called customer care told didn receive "
"450"," rn schedules great december "
"451"," bali jogjakarta weekly basis catch friends play golf cheaper bali main airlines route found deal service times flying suit "
"452"," rn bad service check counter december "
"453"," rude staff accomodating check luggage hand carry forced check bag eventhough explained lock requested front aisle seat told full left row board "
"454"," rn scary december "
"455"," usual delayed hour advise minute conditions plane awful attendant weren’ nice book ticket sat separate requested seats told plane full perfect lie "
"456"," rn delayed december "
"457"," flew family batam business purpose delay minutes schedule normal lcc company expecting commented service inside normal "
"458"," rn delayed hours december "
"459"," delayed hours understood weather bad time informed passengers bit early boarding time passed "
"460"," rn worst december "
"461"," experienced left time hour delay takes minutes informed properly chaos "
"462"," rn delays december "
"463"," choice travel delayed skip business meetings miss connecting flights increase stress levels lose sleep ruin day "
"464"," rn december "
"465"," trouble customers airlines cheaper airlines don expect comfort seat leg room food beverage paid lucky didn "
"466"," rn great short domestic december "
"467"," checking board service amazing price treated class passengers "
"468"," rn cheap good december "
"469"," min jakarta crew smile time smiled boarding exiting plane ’ tired pretty thick accents speaking english safety announcements budget "
"470"," rn put dot december "
"471"," don mention detail disappointment title stated tho flew years ago decided tripadvisor update year history put january "
"472"," rn risk december "
