"","klasifikasi","score","text"
"33","Negatif",-1," trip indonesia flights delayed book connecting flights change time time informing changed leave hour earlier finally left hours "
"34","Netral",0," rn cheap free baggage meal weeks ago"
"35","Positif",1," cheap fare free kg luggage allowance seating area narrow acceptable short distance travel inflight entertainment time fare include meals drinks sell cheap efficient reliable "
"36","Negatif",-1," rn worst planet weeks ago"
"37","Negatif",-4," sit gate entering hour delay min allowed collection disorganised rude lazy charlatans run arrived airport told wasn’ reason half hour delay "
"38","Negatif",-1," rn delay weeks ago"
"39","Negatif",-3," time taking airlines worst service delay mins boarding time estimated delay time hours aircraft supposed fly kul leave kul cgk "
"40","Negatif",-1," rn worst indonesia weeks ago"
"41","Negatif",-2," hours delay bali lombokwe change times gate delay don apologize garuda avoid "
"42","Negatif",-1," rn multiple bad experience weeks ago"
"43","Negatif",-2," singapore jakarta wasn bus pick passengers plane terminal send cars pick causing long wait people rushing cars reason flew day cheap scoot jetstar pricier "
"44","Negatif",-1," rn worst weeks ago"
"45","Negatif",-2," worst medan lombok transit jakarta original medan jakarta cancelled moved hour find minutes delay couldn catch original jakarta lombok "
"46","Negatif",-1," rn disappointed weeks ago"
"47","Netral",0," smooth dps jt july return jt july mess scheduled depart jakarta dps departed response staff checking ’ light snack box sitting "
"48","Positif",1," rn consistent consistently bad weeks ago"
"49","Netral",0," delay normal thing stands late flying supposed plane hours delayed excellent apologies smile empathy food cold bread cake hard exceptional service passengers played "
"50","Netral",0," rn pay weeks ago"
"51","Netral",0," ’ make simple pay service bag plane safe destination sell water snack board flights delayed destination money expect long queuing lines "
"52","Negatif",-1," rn chronically worst weeks ago"
"53","Negatif",-3," addition sound repetitive reviewers commented late minutes business meeting due delay boarding time morning told delayed minutes ended minutes "
"54","Negatif",-1," rn delayed history time weeks ago"
"55","Negatif",-5," sat lombok airport supposedly taking minutes left previous destination hours late coming lombok hours late back absolute joke chronic delay problems single hour delayed "
"56","Negatif",-1," rn worst weeks ago"
"57","Negatif",-1," travelling singapore bali jakarta arrived check refused entry plane proof leaving bali told planning extend visas month leaving asked "
"58","Negatif",-1," rn worst airlome weeks ago"
"59","Negatif",-3," budget service poor negligible leg space buy bottle water attendant rude speak english service pathetic "
"60","Negatif",-1," rn worst airlines weeks ago"
"61","Negatif",-3," gave review negative star delay hrs announcement looked tv monitor info stated changed time waiting waiting hrs delay good thing didn’ continue ridiculous "
"62","Netral",0," rn legless lionair weeks ago"
"63","Negatif",-3," sadly ft tall legs suffer indignity flying time absolutely legroom understand frills flying absurd provide relief asked don "
"64","Netral",0," rn weeks ago"
"65","Netral",0," title hrs late lucky didn connecting check slow messy seats comfortable clean honest worried safety due min bad weather incidents "
"66","Negatif",-1," rn late cramped july "
"67","Negatif",-3," traveled multiple times time time announced rescheduled bed middle night delayed untill original departure time resulting long uncomfortable unnecessary "
"68","Positif",1," rn comfortable july "
"69","Positif",7," mine short small aircraft interior looked clean staff pleasant helpful arrived bali minutes early good mention ground staff amazing helpful girl named nym helped lot minute booking ill choose "
"70","Negatif",-1," rn frequent delay july "
"71","Negatif",-4," experienced frequent delay days week delayed kul jakarta hours delayed delayed jakarta kul hours delayed return msia flyer recommended plans itinerary urgent important meeting business matter "
"72","Negatif",-1," rn make late lose bags july "
"73","Negatif",-5," worst delayed hrs lost bags jt absentee owner doomed "
"74","Positif",1," rn “ ” recommendation july "
"75","Netral",0," recommended reason interconnecting bali surabaya delayed late afternoon pm pool passengers morning late afternoon flights big airplane save fuel money pilots fly "
"76","Positif",1," rn highly recommended july "
"77","Negatif",-2," waiting waiting room fell asleep waiting checked myphone received anhe sms informing schedule change aircraft kinda shock sms anncouned directly boarding gate deayed hours "
"78","Netral",0," rn time july "
"79","Negatif",-3," check mess planes delayed hours change gate don explain english beware multiple low end service "
"80","Netral",0," rn flying july "
"81","Positif",1," time ’ airlines landing smooth important thing crew airlines dind’ make passanger awake ’ landing ’ sleeping ’ made shocked "
"82","Negatif",-1," rn time taking hrs delay hr july "
"83","Negatif",-2," flying singapore jakarta weekend trip leaving friday night delayed hour hours left singapore hr jakarta stupid leave earlier finally gave options "
"84","Negatif",-1," rn absolutely horrific experience july "
"85","Negatif",-2," honestly baffled horrific airlines indonesia lombok mere minutes arrived airport told cancelled reach phone couldn’ email people similar "
"86","Negatif",-1," rn late flights accumulated delays july "
"87","Negatif",-3," delayed arrival kupang led delayed departure delay surabaya due heavy traffic delay jakarta due long taxi terminal result minutes collect baggage transfer international terminal garuda check made additionally original flights affected "
"88","Netral",0," rn option fly everwhere indonesia july "
"89","Negatif",-2," airfare unresponsible passenger thing delay hours reason cheap small regency fix things make "
"90","Netral",0," rn july "
"91","Positif",1," delayed informed waiting room yeah reputation schedule delayed courtesy ground staffs announcement plane ready ticket free passengers "
"92","Netral",0," rn july "
"93","Negatif",-1," bad service hours late drinks food "
"94","Negatif",-1," rn delay july "
"95","Netral",0," unprofessional services staff delays flights hours recommended fly "
"96","Netral",0," rn changed times july "
"97","Negatif",-3," honestly option airlines list wanna fly problem time performance times bad situations delayed including experience flying solo peak season eid mubarak sms days date "
"98","Netral",0," rn schedule june "
"99","Netral",0," visiting bromo exotica bromo back lampung transit cengkareng soekarno hatta international airport flew jt malang schedule board schedule usual dont space knee seated "
"100","Netral",0," rn acoustic guitar carry june "
"101","Negatif",-1," guitars carry unnescessary hassle stars underatand instruments fact carrying board doesbt affect passengers manner "
"102","Positif",1," rn amazing june "
"103","Netral",0," cheap luggage included add charges included staff great "
"104","Positif",1," rn smooth june "
"105","Positif",1," today fly lionair lampung jakarta jt cloudy lampung jakarta smooth food drink board minutes nice landing "
"106","Netral",0," rn dont fly june "
"107","Negatif",-2," country airlines iam perfer fly queue management push hard queue coming boarding bus station bus long walk plane cgk sin inside cabin "
"108","Netral",0," rn late ’ company motto june "
"109","Negatif",-1," everytime traveling domestic indonesia international list top late lie justify late schedule don’ care accommodating passager change early ’ misrepresent "
"110","Positif",1," rn good resort june "
"111","Negatif",-4," beginning chances flying recently quit totally unpredictable term responsiveness delay proper communication passengers changed delayed showing poorest service service checked boarding slower average competitors "
"112","Negatif",-2," rn worst staff guaranteed ruin day june "
"113","Netral",0," ’ frequent traveler traveled regular sized carry suitcase inside cabin morning boarding gate ground crew decided rudely allowed inside cabin baggage insisted "
"114","Positif",1," rn promise late june "
"115","Negatif",-1," fly option count hands times arrived time hand missed departure monitor schedule assigned gate thinking heard "
"116","Netral",0," rn june "
"117","Negatif",-1," changed departure time number minute sms text notice original number schedule change plan consulting arrived airport early departure inform delay minutes planned "
"118","Negatif",-1," rn incompetent staff june "
"119","Negatif",-1," fly singapore wife visa staff confidently buy ticket abroad singapore government permit enter singapore state concerned official singapore "
"120","Netral",0," rn budget airlines indonesia june "
"121","Netral",0," shock flew airbus nice experience things emergency seat checking counter favorite budget airlines "
"122","Negatif",-1," rn regular delay june "
"123","Netral",0," company extensive armada indonesia low cost wings standard service batik company sister company malaysia malindo langkawi thailand thai australia aussie batik review low time performance otp "
"124","Positif",1," rn smooth landing june "
"125","Negatif",-3," flew times prior bad experience delay rough landing time traveled group didn make booking exploring website check couldn give review part review "
"126","Positif",1," rn improved june "
"127","Negatif",-1," aware delay time glad returned delayed schdule "
"128","Negatif",-1," rn extremely delayed june "
"129","Negatif",-3," flew yogya jakarta delayed hours checking locals found delayed days flying domestic flights jogja make account hours delays normal "
"130","Negatif",-3," rn cheap travels indonesia beware delays route june "
"131","Negatif",-1," big company routes part asia times highly affordable professional kind staff hour delay makassar airport explanation statistics day route big gripe served "
"132","Positif",1," rn solid experience june "
"133","Netral",0," flew bad time airport booked ticket day departure price displaying online booked online great "
"134","Netral",0," rn mr june "
"135","Negatif",-1," time back home jakarta solo vice versa book days prior arrival departure time booked advance jakarta solo june price today check "
"136","Netral",0," rn king june "
"137","Netral",0," choice don fly weren group choice top tip charge hour late pretty standard poor management passengers loading england call bun fight dirty boeing er scuffed seats "
"138","Negatif",-2," rn delays poor communication june "
"139","Negatif",-5," ’ flights delayed indonesia traveled wit airlines delayed hour updated flights screen didn’ ’ve delay initially time hours delayed hours delayed "
"140","Netral",0," rn budget june "
"141","Positif",2," fly frequently cheapest find indonesia budget pay legroom complementary meal drink delayed time pretty generous carry means ll fighting space overhead compartments hey cheap "
"142","Netral",0," rn june "
"143","Positif",1," jakarta surabaya denpasar surabaya denpasar jakarta denpasar lombok ticket prices cheaper save services meals services provide food services passengers needed flying place time "
"144","Negatif",-1," rn time issue june "
"145","Negatif",-3," based experience taking delayed time worse turn conditioner airborne uncomfortable "
"146","Positif",1," rn recommended long trips june "
"147","Negatif",-1," trip short service attendants save attendant happily smiled plane slightly delayed explanation provided risky connecting luckily moved connecting "
"148","Positif",1," rn short trip good memory june "
"149","Positif",1," choosed fly banda aceh medan schedule time great price affordable pleasent indonesia long long time ago avoid fly indonesia horrible moments "
"150","Negatif",-3," rn delay delay delay june "
"151","Negatif",-2," flew route back times year star nias island flights depart time occasions missed connecting flights put terrible hotel night avoid "
"152","Positif",1," rn postponed times company days friendly crew june "
"153","Positif",1," experience positive rescheduled times bit cold crew friendly "
"154","Netral",0," rn returned jakarta "
"155","Positif",4," check good smooth staff helpful operative legroom small announcements improved "
"156","Negatif",-1," rn bad customer service "
"157","Negatif",-1," happen date coming chronology booked return fares ticket batikair recently payment system payment problems cut creditted credit card didn’ received confirmation booking code called call centre hours news "
"158","Netral",0," rn time ll ferry lombok "
"159","Netral",0," delayed hours arrived lombok dark hotel shuttle left office offered meal voucher needed transport food luckely lady helped stay lombok start good "
"160","Netral",0," rn budget airlines "
"161","Positif",2," budget airlines loves travelers indonesia plane plane clean didn meal plane "
"162","Negatif",-2," rn poor service evemt cheap price "
"163","Netral",0," soo time made delay schedule ussually operational reasonbut profesional reason delayed handlingfor times passangger walk stay airplane sitt number cond compliment menit hot leaving runway airportif "
"164","Negatif",-1," rn cheap "
"165","Netral",0," indonesian airlines cheap price services good people complain airlines excellent service choose airlines "
"166","Negatif",-2," rn resentful delay "
"167","Negatif",-2," departure schedule sms email information delay delay approximately hours finally plane arrived cgk compensation "
"168","Netral",0," rn maskapai lcc "
"169","Positif",2," time schedule extra space seats free drink onboard good choice hour time "
"170","Netral",0," rn tight schedule "
"171","Negatif",-2," airlines tight schedule trip worse question knew otp bad honestly extensive network schedule rock bottom "
"172","Negatif",-1," rn delay "
"173","Negatif",-2," singapore hours delayed ferry batam center batam jakarta guess delay hours luckily wasn arrive midnight "
"174","Negatif",-1," rn delayed hours "
"175","Negatif",-3," alright cheap delayed hours hours unbelievable "
"176","Negatif",-1," rn delay "
"177","Negatif",-3," back jakarta pm plane flew pm delays flown pm passengers entered cabin chaotic passengers similar seat numbers case day delay "
"178","Netral",0," rn budget "
"179","Negatif",-1," budget indonesian bad check services late scheduled time "
"180","Negatif",-1," rn king delay "
"181","Positif",2," realize choose spare hour arrived destination board aircraft stay calm reason explain attendance enjoy "
"182","Netral",0," rn normal "
"183","Negatif",-2," booked bali lombok rinjani trip point bad point delay hrs don told plane indonesia choice walk airport "
"184","Netral",0," rn budget rate service conventional carrier "
"185","Negatif",-2," lionair ticket comprise kg check baggage timing schedule delay seat cramp eapecially ub long leg room leg "
"186","Negatif",-1," rn called lying "
"187","Negatif",-1," minute hours late board transport plane bus made wait tarmac minutes joke "
"188","Netral",0," rn budget flights "
"189","Positif",1," everytime kuala lumpur ontime delayed hours love taking domestic international lot choice time service fair price "
"190","Negatif",-1," rn delay everytime "
"191","Negatif",-2," flying kuala lumpur jakarta march choose provide time time airplane company everytime fly experience airplane company delay delay time "
"192","Netral",0," rn "
"193","Positif",4," travelled bangkok dmk airport chiang mai duration hr mins found suitable short trip time aircraft felt spacious ceilings higher aircrafts ve staff onboard friendly spoke good english usb ports seat front "
"194","Netral",0," rn "
"195","Negatif",-5," friend told booking stands late wasn wrong delayed hrs flights delayed times delay hotel driver waiting left taxi luggage delivery extremely slow "
"196","Negatif",-1," rn don waste money "
"197","Negatif",-1," ticketing terriblei reschedule charged terrible amount money equal price ticket lounge averagesimple refreshment provided coffee tea water light snacks boarding poorthere arrangement board board plane waited hr "
"198","Netral",0," rn make people wait "
"199","Negatif",-1," time airlines airlines delay suitable time budget schedule delay half hour increase hour give compensation legroom narrow height "
"200","Netral",0," rn experience "
"201","Negatif",-2," ground staff knew aircraft delayed passengers slowly changed time display asked passengers gate refreshment asked "
"202","Negatif",-1," rn delayed "
"203","Negatif",-1," lombok island bali wednesday time pm delayed till pm "
"204","Positif",1," rn recommended "
"205","Negatif",-1," fly airlines time ticket booked clients chance reschedule change delay hour compensation airlines "
"206","Negatif",-1," rn delay "
"207","Negatif",-1," waiting hour airport time staff inform minutes delayed hour comfortable upset services "
"208","Negatif",-1," rn cramped "
"209","Negatif",-1," choices airlines travel lombok book time elderly found cramped "
"210","Positif",1," rn friendly price "
"211","Positif",4," price cheapest indonesia service usual lcc services lot delays famous fortunately time flew schedule great friendly price doesn care service "
"212","Netral",0," rn wondering "
"213","Positif",2," service sold water atall nice beautiful hostes elgant model water food back jakerta bali power banck expenive reules long label bali "
"214","Negatif",-2," rn cheap price completely unreliable "
"215","Negatif",-1," ’ve company times times delayed overbooked change aircraft plane regularly time flied problem gladly pay time "
"216","Negatif",-2," rn cheap price bad service "
"217","Negatif",-4," good thing price ive forced past years regret time staff doesn care distracted phones don job things wrong time counter extremely slow crowded chaotic check "
"218","Netral",0," rn economic "
"219","Positif",1," month kuala lumpur vice versa punctuality kuala lumpur jakarta problem time form jakarta kuala lumpur patient time delay hour good crew polite smile "
"220","Netral",0," rn don fly "
"221","Negatif",-1," write review sitting runway yogyakarta ve minutes ve landed full marks landing sat watch hours supposed land delayed hours explanation staff "
"222","Netral",0," rn destination "
"223","Netral",0," fuss destination local budget run efficiently serves purposes "
"224","Netral",0," rn time "
"225","Netral",0," late leaving denpasar airport place driven bus terminal climb stairs thing plane refreshments heat sitting extremely overpriced warm water yogjakarta arrival circled ages receiving luggage "
"226","Netral",0," rn fan "
"227","Negatif",-3," connecting recommend delayed hours makassar bali option morning afternoon chaos bad management causing delays "
"228","Positif",1," rn comfortable seat "
"229","Positif",2," local thailand comfortable seat felling bigger service excellent "
"230","Netral",0," rn batik "
"231","Negatif",-6," lack communication customers ridiculous lombok delayed hours staff abrupt answers waiting room jam packed delays apparently regular thing "
"232","Netral",0," rn time "
"233","Negatif",-1," fly locations indonesia south east asia found unreliable "
"234","Negatif",-2," rn unreliable risk "
"235","Negatif",-1," fly domestically indonesia great deal flown times refuse book office clients arrange schedule reason flights run schedule resulted loss onward "
"236","Negatif",-1," rn breaking habit "
"237","Negatif",-1," past years flown times business purposes personal operator max er exiting flying stewardess kind pilot trained delayed due "
"238","Negatif",-1," rn poor online booking services "
"239","Positif",1," book web portal tickets palu jakarta confirmed credit card details bank approval forwarded back internet homepage ticket send booking confirmation received happen debiting credit card account "
"240","Netral",0," rn mr "
"241","Positif",2," flown multiple times years planes good quality staff friendly plenty patience dont hurry onward connections time anouncement expected delays guess buziness "
"242","Negatif",-2," rn worst fears realised "
"243","Netral",0," reading reviews caused draft testament number failed indonesian pilots jobs flights time hour late staff things apologise hand promised rewards "
"244","Negatif",-1," rn delay flights "
"245","Negatif",-2," delay worst service connections arrive time dont "
"246","Negatif",-1," rn disaster april "
"247","Positif",1," recommend fly short flights lowcost didnt expect dont boarding gate lastminute departure asked ground staff knew cancelled schedule "
"248","Negatif",-1," rn cheap service april "
"249","Negatif",-2," famous cheap tend delayed ve experienced hours delayed reaaaaly cheap food lines padang review fair square "
"250","Negatif",-1," rn frequent delays exceptionally slow baggage service april "
"251","Netral",0," save time pay opt earliest flights "
"252","Netral",0," rn craft frill april "
"253","Negatif",-1," flew time budget holiday heard negative comments expect booking made online booking ticket mail box confirmation mail retrieve site check received email reminder "
"254","Netral",0," rn story punctuality april "
"255","Netral",0," don endure famous delayed flights domestically international flights share day boarding aircraft minutes etd single explanation ground crew guess considered day "
"256","Negatif",-2," rn horrible worst flew april "
"257","Negatif",-2," flew jt jakarta singapore april horrible experience swear fly lionair recommend flying lionair boarding delayed ground staff lied asked boarding plane arrived boarding normal lionair "
"258","Netral",0," rn low cost april "
"259","Positif",1," low cost affordable low cost world online check make check counter printing boarding pass hurry counter printed lot people queue "
"260","Positif",1," rn recommended rush april "
"261","Negatif",-1," happened jakarta indonesia en route singapore afternoon evening plane late arrival explanation late screens boarding gates update eta restless crowd grumbling made "
"262","Netral",0," rn review april "
"263","Negatif",-3," visit family reached destination waited bali change smaller aircraft supposed fly delayed hours announced problems forced wait announcement told board service bad "
"264","Positif",1," rn smooth april "
"265","Positif",5," year internal thai flights impressed line booking easy credit card charges kg luggage allowance required prefer recent flights time aircraft feel safer crew friendly efficient clear announcements negative "
"266","Netral",0," rn backpacker april "
"267","Negatif",-1," delayed prepare minimum hours city minjmum hours tight schedule economic drink snack served buy airport "
"268","Netral",0," rn hours buy online ticket april "
"269","Negatif",-3," present credit card check completely useless don impossible buy online ticket official website pay intermediate site poor "
"270","Positif",1," rn time friendly staff planes april "
"271","Netral",0," year journeys smooth didn check luggage check issue low cost airlines give leg room prevent people reclining seats inches guy front reclined seat "
"272","Positif",1," rn crew friendly april "
"273","Positif",2," frequent flights destinations jakarta singapore times comfortable crew friendly "
"274","Negatif",-1," rn delayed april "
"275","Negatif",-1," checked screen departure time hours check agent system error depart time min departure announced hours delayed stated screens impressed communication "
"276","Negatif",-2," rn absolutely disgraceful worst experience avoid april "
"277","Negatif",-5," delayed hour explanation staff ’ absolutely useless bags broken compartments left open picked lionair awful response emails tweets avoid thieving lazy "
"278","Netral",0," rn banda aceh batam jt april "
"279","Positif",1," return leg recent pulau weh dive trip late time minutes return wasn full seats easier seating start "
"280","Netral",0," rn batam banda aceh jt april "
"281","Negatif",-2," recently flew batam banda aceh wasn expecting time left late arrived mins late bad result aircraft window seat exit row real complaints extra charge "
"282","Netral",0," rn departure time options april "
"283","Negatif",-2," departure time options manado balikpapan vice versa makes passenger flexible fly price expensive compare route duration service poor housekeeping "
"284","Netral",0," rn delayed hot april "
"285","Negatif",-4," delayed hour worst ac sweating ’ breath recommend kind tortured minutes sauna cheap cheap rp "
"286","Negatif",-1," rn departure delay low cost april "
"287","Netral",0," departure delayed hours seats close designed short people tall barely fit seats low cost worth "
"288","Netral",0," rn book thieves april "
"289","Positif",3," due leave asked staff correct gate clear signs information happening told ‘ time’ minutes due leave wow telling "
"290","Netral",0," rn avoid give star april "
"291","Negatif",-1," avoid worse experience needed buy ticket thai smile good trick money phone rude tourists "
"292","Positif",1," rn great connection april "
"293","Netral",0," airlines serves connection archipelago affordability make indonesian people fly replacing night buses inter island ships fly connect remote islands facts punctuality garuda "
"294","Netral",0," rn money april "
"295","Positif",3," punctual time plane seat flilght smooth landing good "
"296","Negatif",-1," rn regrets april "
"297","Negatif",-4," bad reviews concerned fact leg room issues flights time smooth issues check luggage problem checked bags "
"298","Negatif",-1," rn cheap fare dont april "
"299","Negatif",-3," plane delayed hours finally boarding problems peoples seat seat number website check bring big sis uncomfortable moment make big sister seat priority health peoples seat "
"300","Negatif",-1," rn unreliable indication availability april "
"301","Negatif",-2," trip jogja worst board unreliable timing indication availability time "
"302","Netral",0," rn time april "
"303","Netral",0," time delay moment ground crew friendly serve passengers "
"304","Negatif",-1," rn reliable bad delays april "
"305","Netral",0," time won’ read reviews gave shot times convenient turns times completely inaccurate delays hours outbound hours return "
"306","Negatif",-1," rn hours delay hour april "
"307","Negatif",-2," mid april hours delay clear explanation travelling kids managing boarding room difficult tired "
"308","Netral",0," rn average april "
"309","Negatif",-2," flew march ve reviewing trip late afternoon delayed hour annoyed yo son lop airport slept boarding chaotic walk fair "
"310","Netral",0," rn wasn chicken give march "
"311","Netral",0," jt delayed hours boarded yogyakarta original pm pm fine asia jakarta arrived jakarta terminal taxi terminal airasia terminal driver asked "
"312","Netral",0," rn long wait short march "
"313","Negatif",-2," supposed minutes island initial departure time pm delayed hrs pm due operational problem clear explanation arrive passengers rush gate chaotic manner manage inside cabin conditioning working sauna minutes "
"314","Netral",0," rn usual march "
"315","Negatif",-1," time taking earlier delayed schedule dirty tho don clean plane "
"316","Positif",1," rn recommended march "
"317","Negatif",-3," terrible service flights return trip delayed ’ normal thing complained term ‘delay’ perfectly company put extra effort rebrand image cheaper fare doesn’ lousy service don’ "
"318","Netral",0," rn low cost march "
"319","Negatif",-1," trip uneventful faced delays trip family travel small children recommend "
"320","Positif",1," rn nice low cost carrier march "
"321","Positif",1," pleasant low cost service check desks open hours departure plenty time airport planes releatively flights full virtually times experiences prone delays ideal business travel european low "
"322","Negatif",-1," rn cheap march "
"323","Negatif",-1," flewn jakarta surabaya boeing airways made bit scared wheather day good grey cloud bumpy lot service good space front seat "
"324","Netral",0," rn cheap affordable march "
"325","Negatif",-1," famous bad service delays flights unreasonable expensive cheapest latest choose earliest home satisfied check "
"326","Negatif",-1," rn delay common march "
"327","Positif",1," economy mid low class price airlines good time schedule flights afternoon forward delayed price good "
"328","Netral",0," rn surprising march "
"329","Netral",0," lucky flying month late delay time time cgk delayed airlines striving time service safety factors requested customers low cost carrier "
"330","Positif",1," rn short scenic march "
"331","Positif",1," departed time cabin crew courteous mt merapi takeoff flew ocean landed minutes "
"332","Positif",2," rn nice short time comfort march "
"333","Positif",3," morning great gate changed managed properly short bright morning makes day "
"334","Positif",1," rn good march "
"335","Positif",2," pleasant usual board aircraft minutes late fine issue hour love aircraft "
"336","Netral",0," rn pleasent experience february "
"337","Positif",1," guess lucky negative comments tripadvisor dare flights option surprisingly delightful pleasant experience drawback kg baggage allowance domestic low kg "
"338","Positif",1," rn solid experience february "
"339","Netral",0," couple stellar flights wings bit apprehensive flying mother company pretty eventful left time arrived time boarding wee bit chaotic wasn bad sell small bottles water "
"340","Negatif",-1," rn hands absolute worst experience years frequent flyer flying february "
"341","Negatif",-1," delay hours hours missed connecting granted company responsibility loved repeat times warn people connecting apologize "
"342","Negatif",-1," rn cheap february "
"343","Negatif",-1," terrible service problem person long names day departs airport check passport contacted customer service changed needed book refund "
"344","Netral",0," rn dont fly february "
"345","Negatif",-3," terrible time arrived plane communication flights passengers waiting hours planes communication ended leaving hours late hostess fell sleep unprofessional poor "
"346","Negatif",-1," rn delay airlines february "
"347","Negatif",-1," airlines popular delay airlines indonesia wanna booking connection flew lionair prepare extra hours safety gap lost responsible connecting airlines don professional cabin crew "
"348","Negatif",-1," rn worst experiences february "
"349","Netral",0," severely delayed due “operational reasons” hours late precise information ground staff arriving mid evening touched early hours morning time virtually taxis airport wait hour head "
"350","Positif",1," rn nice morning february "
"351","Netral",0," nice morning jakarta cgk jogja plane departed scheduled morning lcc legroom seat limited inflight entertainment food buy choose earliest schedule fly widely "
"352","Netral",0," rn average lcc february "
"353","Netral",0," lcc space legs tv food served buy "
"354","Netral",0," rn nice spooky landing february "
"355","Negatif",-3," landing bandung airport kinda spooky feels bit dangerous thought airport short landing area wasn bad "
"356","Netral",0," rn plenty time connecting flights february "
"357","Negatif",-1," delayed lombok times arrived bali hours delayed coming landing hold position minutes suggest lots time connecting bali aircon didn work "
"358","Negatif",-1," rn terrible customer service february "
"359","Negatif",-3," company times issue delay moved minute notice sms bahasa call send email english miss change minute customer service "
"360","Positif",1," rn good lcc february "
"361","Positif",2," fly day work good early morning good service short lcc concept lot thing fixed delay service system "
"362","Netral",0," rn food leg room february "
"363","Negatif",-1," food served tv leg space time landed scheduled landing time fare cheap kg check luggage kg cabin luggage allowed extra luggage charges kg "
"364","Negatif",-3," rn delays delays delays february "
"365","Netral",0," hours waiting making driver wait hours airport pky airport free wifi free food plane wasn bad expect delays flying "
"366","Netral",0," rn food plane february "
"367","Netral",0," huge plane departure arrival delay hour staff friendly guess due language barrier coming back bangkok realise menu stock left nuts drink luckily hours cater "
"368","Positif",1," rn recommended february "
"369","Positif",1," entertainment food quality avg cabin crew good star advantage fare cheap compared airlines "
"370","Netral",0," rn good price problem february "
"371","Positif",1," cc son ride airplane transit jakarta airport price reasonable airplane problem short time lcc good find inconvenience satisfied "
"372","Positif",1," rn good sg jkt january "
"373","Netral",0," lionair good sg jkt delay minutes don jkt sg delay hours budget expect spacious meal service "
"374","Negatif",-1," rn don’ expect emergency january "
"375","Netral",0," early december cancelled volcanic eruption ’ fault informed rescheduled airport directed locations denpasar refund pay taxi ride day travel agency "
"376","Positif",1," rn recommended january "
"377","Negatif",-5," cheap leave jakarta gunungsitoli transit medan hours back nias jakarta transit terrain hours bad experience bad service long delay fitting home delay hour continue "
"378","Netral",0," rn standard january "
"379","Positif",1," ordinary special time time schedule change semarang jakarta fine "
"380","Netral",0," rn average january "
"381","Positif",1," dollars recommend bangkok airways jet airways dmk airport half hours immigration "
"382","Netral",0," rn late january "
"383","Netral",0," late choice offer varied schedules "
"384","Negatif",-1," rn poor january "
"385","Negatif",-2," ground staff check counter rude helpfull luggage passanger lost prevent mine plastic wraping tagging bag bern stollen ground staff luggage staff company hire thief work rude person "
"386","Positif",1," rn reliable low cost january "
"387","Positif",1," choice domestic travel indonesia years hiccups major financial implications understandably low cost comfort doze duration don mind "
"388","Negatif",-1," rn rude staff lombok airport january "
"389","Netral",0," ’ ’ bandung airport staff kind helpfully detail needed lombok check staff slow response preferred chat staff costumer gave service fast "
"390","Netral",0," rn time january "
"391","Netral",0," bought ticket months ago traveloka schedule jakarta weeks date received email traveloka scheduled contact earliest scheduled boarding "
"392","Positif",1," rn good january "
